1.6244,1.7184,-0,1.8355,0.1481,1.3176,0.2963,0.9305,0.4444,0.7917,0.5925,0.6984,0.7407,0.6449,0.8888,0.6569,1.0369,0.576,1.1851,0.5696,1.3332,0.575,1.4813,0.5882,1.6295,0.5061,1.7776,0.4645,1.9257,0.4714,2.0739,0.4629,2.222,0.5244,2.3701,0.2898,2.5182,0.5439,2.6664,0.396,2.8145,0,144.94,108.29,79.045
1.5776,1.7222,-0,1.648,0.0572,1.3906,0.1144,1.1425,0.1717,0.9108,0.2289,0.7481,0.2861,0.6348,0.3433,0.5619,0.4005,0.5099,0.4578,0.4678,0.515,0.4875,0.5722,0.4799,0.6294,0.3752,0.6866,0.4312,0.7439,0.3723,0.8011,0.3214,0.8583,0.432,0.9155,0.3075,0.9727,0.5316,1.03,0.2953,1.0872,0,201.58,158.88,124.63
1.5775,1.7672,-0,1.7685,0.0875,1.3868,0.1751,1.0314,0.2626,0.8309,0.3501,0.6696,0.4376,0.5968,0.5252,0.5388,0.6127,0.4879,0.7002,0.4578,0.7877,0.3984,0.8753,0.2703,0.9628,0.3555,1.0503,0.1427,1.1378,0.1649,1.2254,0.0925,1.3129,0.2737,1.4004,0.741,1.4879,0,1.5755,-0.3403,1.663,0,169.37,133.86,102.21
1.6243,1.775,-0,1.7821,0.1263,1.4295,0.2526,0.9701,0.3789,0.738,0.5052,0.6561,0.6315,0.5307,0.7578,0.4926,0.8841,0.5506,1.0104,0.4417,1.1367,0.3673,1.263,0.4127,1.3893,0.398,1.5156,0.4438,1.6419,0.235,1.7682,0.2703,1.8945,0.2737,2.0208,0,2.1471,0,2.2734,-0.3403,2.3997,0,167.48,132.03,102.36
1.612,1.7701,-0,1.8223,0.147,1.3688,0.294,0.9548,0.441,0.7602,0.588,0.6819,0.735,0.6454,0.882,0.634,1.029,0.6182,1.176,0.5977,1.323,0.5978,1.4701,0.5082,1.6171,0.5318,1.7641,0.5482,1.9111,0.4548,2.0581,0.7297,2.2051,0.4301,2.3521,0.2239,2.4991,0,2.6461,0.3403,2.7931,0,149.23,114.35,86.41
1.6178,1.7204,-0,1.7215,0.0758,1.4245,0.1516,1.0593,0.2274,0.7996,0.3031,0.6952,0.3789,0.6086,0.4547,0.5776,0.5305,0.5856,0.6063,0.5218,0.6821,0.4693,0.7578,0.3537,0.8336,0.4199,0.9094,0.584,0.9852,0.4501,1.061,0.4264,1.1368,0.1854,1.2125,0.3537,1.2883,0.3403,1.3641,0,1.4399,0,199.01,157.27,125.01
1.6188,1.7518,-0,1.8867,0.1486,1.2397,0.2972,0.8527,0.4458,0.6786,0.5944,0.5711,0.743,0.5434,0.8917,0.4612,1.0403,0.5555,1.1889,0.5184,1.3375,0.3673,1.4861,0.5107,1.6347,0.5117,1.7833,0.26,1.9319,0.5542,2.0805,0.2232,2.2291,0,2.3778,0.2616,2.5264,0,2.675,0,2.8236,0,175.48,138.72,105.86
1.6116,1.7626,-0,1.8695,0.1547,1.2504,0.3095,0.8606,0.4642,0.7034,0.619,0.6903,0.7737,0.5926,0.9285,0.5347,1.0832,0.4116,1.2379,0.3157,1.3927,0.3944,1.5474,0.4517,1.7022,0.3453,1.8569,0.4509,2.0116,0.5268,2.1664,0.5503,2.3211,0.6404,2.4759,0.3751,2.6306,0.4243,2.7854,0.0929,2.9401,0,184.72,150.71,119.88
1.6293,1.7596,-0,1.8367,0.1535,1.3157,0.307,0.9024,0.4605,0.7166,0.614,0.7034,0.7675,0.5962,0.921,0.6086,1.0744,0.5768,1.2279,0.4329,1.3814,0.4481,1.5349,0.4417,1.6884,0.2726,1.8419,0.1739,1.9954,0.208,2.1489,0.2643,2.3024,0,2.4559,0,2.6094,0,2.7629,0.1462,2.9164,0,165.82,130.93,102.11
1.6473,1.771,-0,1.8114,0.1264,1.3855,0.2528,0.9246,0.3791,0.7419,0.5055,0.6591,0.6319,0.6056,0.7583,0.5997,0.8847,0.5975,1.0111,0.7596,1.1374,0.6544,1.2638,0.5361,1.3902,0.4569,1.5166,0.5988,1.643,0.7957,1.7693,0.5871,1.8957,0.1808,2.0221,0,2.1485,0,2.2749,-0.3403,2.4013,0,165.57,130.97,103.07
